No;Kecamatan / Lokasi Kerja;Kota / Kabupaten;Tahun;Bulan;Tonase;Sampah Mudah Terurai;Kertas;Kayu;Kain;Plastik;Kulit / Karet;Logam;Kaca;B3 Domestik;Masker;Lain-Lain;Sort
14;JATINEGARA;Kota Jakarta Timur;2021;Januari;5654,08;2819,69;975,33;179,80;50,89;1297,61;39,58;61,06;83,68;23,75;44,10;79,16;1
15;JOHAR BARU;Kota Jakarta Pusat;2021;Januari;1692,12;843,86;291,89;53,81;15,23;388,34;11,84;18,27;25,04;7,11;13,20;23,69;1
16;KALIDERES;Kota Jakarta Barat;2021;Januari;5710,74;2847,95;985,10;181,60;51,40;1310,61;39,98;61,68;84,52;23,99;44,54;79,95;1
17;KEBAYORAN BARU;Kota Jakarta Selatan;2021;Januari;5135,84;2561,24;885,93;163,32;46,22;1178,68;35,95;55,47;76,01;21,57;40,06;71,90;1
18;KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Januari;6268,66;3126,18;1081,34;199,34;56,42;1438,66;43,88;67,70;92,78;26,33;48,90;87,76;1
19;KEBON JERUK;Kota Jakarta Barat;2021;Januari;5790,86;2887,90;998,92;184,15;52,12;1329,00;40,54;62,54;85,70;24,32;45,17;81,07;1
20;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2021;Januari;355;177,04;61,24;11,29;3,20;81,47;2,49;3,83;5,25;1,49;2,77;4,97;1
21;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2021;Januari;180,34;89,94;31,11;5,73;1,62;41,39;1,26;1,95;2,67;0,76;1,41;2,52;1
22;KELAPA GADING;Kota Jakarta Utara;2021;Januari;4113,96;2051,63;709,66;130,82;37,03;944,15;28,80;44,43;60,89;17,28;32,09;57,60;1
23;KEMAYORAN;Kota Jakarta Pusat;2021;Januari;4720,24;2353,98;814,24;150,10;42,48;1083,30;33,04;50,98;69,86;19,83;36,82;66,08;1
24;KEMBANGAN;Kota Jakarta Barat;2021;Januari;4149,44;2069,33;715,78;131,95;37,34;952,30;29,05;44,81;61,41;17,43;32,37;58,09;1
25;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2021;Januari;851,66;424,72;146,91;27,08;7,66;195,46;5,96;9,20;12,60;3,58;6,64;11,92;1
26;KOJA;Kota Jakarta Utara;2021;Januari;4721,24;2354,48;814,41;150,14;42,49;1083,52;33,05;50,99;69,87;19,83;36,83;66,10;1
27;KRAMAT JATI;Kota Jakarta Timur;2021;Januari;3915,24;1952,53;675,38;124,50;35,24;898,55;27,41;42,28;57,95;16,44;30,54;54,81;1
28;MAKASAR;Kota Jakarta Timur;2021;Januari;3052,4;1522,23;526,54;97,07;27,47;700,53;21,37;32,97;45,18;12,82;23,81;42,73;1
29;MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Januari;2727,12;1360,01;470,43;86,72;24,54;625,87;19,09;29,45;40,36;11,45;21,27;38,18;1
30;MATRAMAN;Kota Jakarta Timur;2021;Januari;2704,96;1348,96;466,61;86,02;24,34;620,79;18,93;29,21;40,03;11,36;21,10;37,87;1
31;MENTENG;Kota Jakarta Pusat;2021;Januari;2353,42;1173,65;405,96;74,84;21,18;540,11;16,47;25,42;34,83;9,88;18,36;32,95;1
32;Pademangan;Kota Jakarta Utara;2021;Januari;3026,1;1509,12;522,00;96,23;27,23;694,49;21,18;32,68;44,79;12,71;23,60;42,37;1
33;PALMERAH;Kota Jakarta Barat;2021;Januari;4179,4;2084,27;720,95;132,90;37,61;959,17;29,26;45,14;61,86;17,55;32,60;58,51;1
34;PANCORAN;Kota Jakarta Selatan;2021;Januari;4408,46;2198,50;760,46;140,19;39,68;1011,74;30,86;47,61;65,25;18,52;34,39;61,72;1
35;PASAR - CAKUNG;Kota Jakarta Timur;2021;Januari;239,76;119,57;41,36;7,62;2,16;55,02;1,68;2,59;3,55;1,01;1,87;3,36;1
36;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Januari;354,06;176,57;61,08;11,26;3,19;81,26;2,48;3,82;5,24;1,49;2,76;4,96;1
37;PASAR - CENGKARENG;Kota Jakarta Barat;2021;Januari;229,82;114,61;39,64;7,31;2,07;52,74;1,61;2,48;3,40;0,97;1,79;3,22;1
38;PASAR - CILANDAK;Kota Jakarta Selatan;2021;Januari;137,36;68,50;23,69;4,37;1,24;31,52;0,96;1,48;2,03;0,58;1,07;1,92;1
39;PASAR - CILINCING;Kota Jakarta Utara;2021;Januari;118,68;59,19;20,47;3,77;1,07;27,24;0,83;1,28;1,76;0,50;0,93;1,66;1
40;PASAR - CIPAYUNG;Kota Jakarta Timur;2021;Januari;84,36;42,07;14,55;2,68;0,76;19,36;0,59;0,91;1,25;0,35;0,66;1,18;1
41;PASAR - CIRACAS;Kota Jakarta Timur;2021;Januari;186,08;92,80;32,10;5,92;1,67;42,71;1,30;2,01;2,75;0,78;1,45;2,61;1
42;PASAR - DUREN SAWIT;Kota Jakarta Timur;2021;Januari;716,92;357,53;123,67;22,80;6,45;164,53;5,02;7,74;10,61;3,01;5,59;10,04;1
43;PASAR - GAMBIR;Kota Jakarta Pusat;2021;Januari;135,26;67,45;23,33;4,30;1,22;31,04;0,95;1,46;2,00;0,57;1,06;1,89;1
44;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Januari;422,52;210,71;72,88;13,44;3,80;96,97;2,96;4,56;6,25;1,77;3,30;5,92;1
45;PASAR - JAGAKARSA;Kota Jakarta Selatan;2021;Januari;189,14;94,32;32,63;6,01;1,70;43,41;1,32;2,04;2,80;0,79;1,48;2,65;1
46;PASAR - JATINEGARA;Kota Jakarta Timur;2021;Januari;431,58;215,23;74,45;13,72;3,88;99,05;3,02;4,66;6,39;1,81;3,37;6,04;1
47;PASAR - JOHAR BARU;Kota Jakarta Pusat;2021;Januari;12,84;6,40;2,21;0,41;0,12;2,95;0,09;0,14;0,19;0,05;0,10;0,18;1
48;PASAR - KALIDERES;Kota Jakarta Barat;2021;Januari;46,9;23,39;8,09;1,49;0,42;10,76;0,33;0,51;0,69;0,20;0,37;0,66;1
49;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2021;Januari;285,98;142,62;49,33;9,09;2,57;65,63;2,00;3,09;4,23;1,20;2,23;4,00;1
50;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Januari;358,04;178,55;61,76;11,39;3,22;82,17;2,51;3,87;5,30;1,50;2,79;5,01;1
51;PASAR - KEBON JERUK;Kota Jakarta Barat;2021;Januari;35,12;17,51;6,06;1,12;0,32;8,06;0,25;0,38;0,52;0,15;0,27;0,49;1
52;PASAR - KELAPA GADING;Kota Jakarta Utara;2021;Januari;37,88;18,89;6,53;1,20;0,34;8,69;0,27;0,41;0,56;0,16;0,30;0,53;1
53;PASAR - KEMAYORAN;Kota Jakarta Pusat;2021;Januari;361,28;180,17;62,32;11,49;3,25;82,91;2,53;3,90;5,35;1,52;2,82;5,06;1
54;PASAR - KEMBANGAN;Kota Jakarta Barat;2021;Januari;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;1
55;PASAR - KOJA;Kota Jakarta Utara;2021;Januari;411,22;205,08;70,94;13,08;3,70;94,37;2,88;4,44;6,09;1,73;3,21;5,76;1
56;PASAR - KRAMAT JATI;Kota Jakarta Timur;2021;Januari;5850,88;2917,83;1009,28;186,06;52,66;1342,78;40,96;63,19;86,59;24,57;45,64;81,91;1
57;PASAR - MAKASAR;Kota Jakarta Timur;2021;Januari;230,4;114,90;39,74;7,33;2,07;52,88;1,61;2,49;3,41;0,97;1,80;3,23;1
58;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Januari;54,36;27,11;9,38;1,73;0,49;12,48;0,38;0,59;0,80;0,23;0,42;0,76;1
59;PASAR - MATRAMAN;Kota jakarta Timur;2021;Januari;110,68;55,20;19,09;3,52;1,00;25,40;0,77;1,20;1,64;0,46;0,86;1,55;1
60;PASAR - PADEMANGAN;Kota Jakarta Utara;2021;Januari;318,66;158,92;54,97;10,13;2,87;73,13;2,23;3,44;4,72;1,34;2,49;4,46;1
61;PASAR - PALMERAH;Kota Jakarta Barat;2021;Januari;35,5;17,70;6,12;1,13;0,32;8,15;0,25;0,38;0,53;0,15;0,28;0,50;1
62;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2021;Januari;572,7;285,61;98,79;18,21;5,15;131,43;4,01;6,19;8,48;2,41;4,47;8,02;1
63;PASAR - PASAR REBO;Kota Jakarta Timur;2021;Januari;88,56;44,16;15,28;2,82;0,80;20,32;0,62;0,96;1,31;0,37;0,69;1,24;1
64;PASAR - PENJARINGAN;Kota Jakarta Utara;2021;Januari;461,16;229,98;79,55;14,66;4,15;105,84;3,23;4,98;6,83;1,94;3,60;6,46;1
65;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2021;Januari;66,08;32,95;11,40;2,10;0,59;15,17;0,46;0,71;0,98;0,28;0,52;0,93;1
66;PASAR - PULOGADUNG;Kota Jakarta Timur;2021;Januari;349,04;174,07;60,21;11,10;3,14;80,10;2,44;3,77;5,17;1,47;2,72;4,89;1
67;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2021;Januari;169,88;84,72;29,30;5,40;1,53;38,99;1,19;1,83;2,51;0,71;1,33;2,38;1
68;PASAR - SENEN;Kota Jakarta Pusat;2021;Januari;542,94;270,76;93,66;17,27;4,89;124,60;3,80;5,86;8,04;2,28;4,23;7,60;1
69;PASAR - SETIABUDI;Kota Jakarta Selatan;2021;Januari;269,14;134,22;46,43;8,56;2,42;61,77;1,88;2,91;3,98;1,13;2,10;3,77;1
70;PASAR - TAMANSARI;Kota Jakarta Barat;2021;Januari;723,8;360,96;124,86;23,02;6,51;166,11;5,07;7,82;10,71;3,04;5,65;10,13;1
71;PASAR - TAMBORA;Kota Jakarta Barat;2021;Januari;639,88;319,11;110,38;20,35;5,76;146,85;4,48;6,91;9,47;2,69;4,99;8,96;1
72;PASAR - TANAH ABANG;Kota Jakarta Pusat;2021;Januari;336,76;167,94;58,09;10,71;3,03;77,29;2,36;3,64;4,98;1,41;2,63;4,71;1
73;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2021;Januari;283,06;141,16;48,83;9,00;2,55;64,96;1,98;3,06;4,19;1,19;2,21;3,96;1
74;PASAR - TEBET;Kota Jakarta Selatan;2021;Januari;168,32;83,94;29,04;5,35;1,51;38,63;1,18;1,82;2,49;0,71;1,31;2,36;1
75;PASAR MINGGU;Kota Jakarta Selatan;2021;Januari;6466;3224,59;1115,39;205,62;58,19;1483,95;45,26;69,83;95,70;27,16;50,43;90,52;1
76;PASAR REBO;Kota Jakarta Timur;2021;Januari;3570,38;1780,55;615,89;113,54;32,13;819,40;24,99;38,56;52,84;15,00;27,85;49,99;1
77;PENJARINGAN;Kota Jakarta Utara;2021;Januari;7593,48;3786,87;1309,88;241,47;68,34;1742,70;53,15;82,01;112,38;31,89;59,23;106,31;1
78;PESANGGRAHAN;Kota Jakarta Selatan;2021;Januari;4750,54;2369,09;819,47;151,07;42,75;1090,25;33,25;51,31;70,31;19,95;37,05;66,51;1
79;PKLB3;;2021;Januari;3088,88;1540,42;532,83;98,23;27,80;708,90;21,62;33,36;45,72;12,97;24,09;43,24;1
80;PULOGADUNG;Kota Jakarta Timur;2021;Januari;5060,9;2523,87;873,01;160,94;45,55;1161,48;35,43;54,66;74,90;21,26;39,48;70,85;1
81;SAWAH BESAR;Kota Jakarta Pusat;2021;Januari;2253,98;1124,06;388,81;71,68;20,29;517,29;15,78;24,34;33,36;9,47;17,58;31,56;1
82;SENEN;Kota Jakarta Pusat;2021;Januari;1797,7;896,51;310,10;57,17;16,18;412,57;12,58;19,42;26,61;7,55;14,02;25,17;1
83;SETIABUDI;Kota Jakarta Selatan;2021;Januari;2777,92;1385,35;479,19;88,34;25,00;637,53;19,45;30,00;41,11;11,67;21,67;38,89;1
84;TAMAN SARI;Kota Jakarta Barat;2021;Januari;3606,7;1798,66;622,16;114,69;32,46;827,74;25,25;38,95;53,38;15,15;28,13;50,49;1
85;TAMBORA;Kota Jakarta Barat;2021;Januari;6899,66;3440,86;1190,19;219,41;62,10;1583,47;48,30;74,52;102,11;28,98;53,82;96,60;1
86;TANAH ABANG;Kota Jakarta Pusat;2021;Januari;2945,32;1468,83;508,07;93,66;26,51;675,95;20,62;31,81;43,59;12,37;22,97;41,23;1
87;TANJUNG PRIOK;Kota Jakarta Utara;2021;Januari;8137,26;4058,05;1403,68;258,76;73,24;1867,50;56,96;87,88;120,43;34,18;63,47;113,92;1
88;TEBET;Kota Jakarta Selatan;2021;Januari;3720,3;1855,31;641,75;118,31;33,48;853,81;26,04;40,18;55,06;15,63;29,02;52,08;1
89;UPK BADAN AIR;Lembaga ;2021;Januari;7866,66;3923,10;1357,00;250,16;70,80;1805,40;55,07;84,96;116,43;33,04;61,36;110,13;1
90;B2B;Lembaga ;2021;Februari;6947,02;3464,48;1198,36;220,92;62,52;1594,34;48,63;75,03;102,82;29,18;54,19;97,26;2
91;BIDANG PENGENDALIAN KEBERSIHAN;Lembaga ;2021;Februari;561,96;280,25;96,94;17,87;5,06;128,97;3,93;6,07;8,32;2,36;4,38;7,87;2
92;CAKUNG;Kota Jakarta Timur;2021;Februari;8882,22;4429,56;1532,18;282,45;79,94;2038,47;62,18;95,93;131,46;37,31;69,28;124,35;2
93;CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Februari;1582,34;789,11;272,95;50,32;14,24;363,15;11,08;17,09;23,42;6,65;12,34;22,15;2
94;CENGKARENG;Kota Jakarta Barat;2021;Februari;5932,1;2958,34;1023,29;188,64;53,39;1361,42;41,52;64,07;87,80;24,91;46,27;83,05;2
95;CILANDAK;Kota Jakarta Selatan;2021;Februari;3687,9;1839,16;636,16;117,28;33,19;846,37;25,82;39,83;54,58;15,49;28,77;51,63;2
96;CILINCING;Kota Jakarta Utara;2021;Februari;5731,22;2858,16;988,64;182,25;51,58;1315,31;40,12;61,90;84,82;24,07;44,70;80,24;2
97;CIPAYUNG;Kota Jakarta Timur;2021;Februari;3584,82;1787,75;618,38;114,00;32,26;822,72;25,09;38,72;53,06;15,06;27,96;50,19;2
98;CIRACAS;Kota Jakarta Timur;2021;Februari;4021,72;2005,63;693,75;127,89;36,20;922,98;28,15;43,43;59,52;16,89;31,37;56,30;2
99;DUREN SAWIT;Kota Jakarta Timur;2021;Februari;7018,22;3499,99;1210,64;223,18;63,16;1610,68;49,13;75,80;103,87;29,48;54,74;98,26;2
100;GAMBIR;Kota Jakarta Pusat;2021;Februari;2096,62;1045,58;361,67;66,67;18,87;481,17;14,68;22,64;31,03;8,81;16,35;29,35;2
101;GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Februari;4515,02;2251,64;778,84;143,58;40,64;1036,20;31,61;48,76;66,82;18,96;35,22;63,21;2
102;JAGAKARSA;Kota Jakarta Selatan;2021;Februari;4911,34;2449,29;847,21;156,18;44,20;1127,15;34,38;53,04;72,69;20,63;38,31;68,76;2
103;JATINEGARA;Kota Jakarta Timur;2021;Februari;5658,04;2821,66;976,01;179,93;50,92;1298,52;39,61;61,11;83,74;23,76;44,13;79,21;2
104;JOHAR BARU;Kota Jakarta Pusat;2021;Februari;1624,08;809,93;280,15;51,65;14,62;372,73;11,37;17,54;24,04;6,82;12,67;22,74;2
105;KALIDERES;Kota Jakarta Barat;2021;Februari;4924,56;2455,88;849,49;156,60;44,32;1130,19;34,47;53,19;72,88;20,68;38,41;68,94;2
106;KEBAYORAN BARU;Kota Jakarta Selatan;2021;Februari;5185,98;2586,25;894,58;164,91;46,67;1190,18;36,30;56,01;76,75;21,78;40,45;72,60;2
107;KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Februari;5841,82;2913,32;1007,71;185,77;52,58;1340,70;40,89;63,09;86,46;24,54;45,57;81,79;2
108;KEBON JERUK;Kota Jakarta Barat;2021;Februari;5272,92;2629,61;909,58;167,68;47,46;1210,14;36,91;56,95;78,04;22,15;41,13;73,82;2
109;KEHUTANAN JAKARTA BARAT;Kota Jakarta Barat;2021;Februari;328,56;163,85;56,68;10,45;2,96;75,40;2,30;3,55;4,86;1,38;2,56;4,60;2
110;KEHUTANAN JAKARTA PUSAT;Kota Jakarta Pusat;2021;Februari;135,36;67,50;23,35;4,30;1,22;31,07;0,95;1,46;2,00;0,57;1,06;1,90;2
111;KELAPA GADING;Kota Jakarta Utara;2021;Februari;4093,78;2041,57;706,18;130,18;36,84;939,52;28,66;44,21;60,59;17,19;31,93;57,31;2
112;KEMAYORAN;Kota Jakarta Pusat;2021;Februari;4529,32;2258,77;781,31;144,03;40,76;1039,48;31,71;48,92;67,03;19,02;35,33;63,41;2
113;KEMBANGAN;Kota Jakarta Barat;2021;Februari;3726,52;1858,42;642,82;118,50;33,54;855,24;26,09;40,25;55,15;15,65;29,07;52,17;2
114;KEPULAUAN SERIBU;Kabupaten Kepulauan Seribu;2021;Februari;875,38;436,55;151,00;27,84;7,88;200,90;6,13;9,45;12,96;3,68;6,83;12,26;2
115;KOJA;Kota Jakarta Utara;2021;Februari;4387,86;2188,23;756,91;139,53;39,49;1007,01;30,72;47,39;64,94;18,43;34,23;61,43;2
116;KRAMAT JATI;Kota Jakarta Timur;2021;Februari;3791,58;1890,86;654,05;120,57;34,12;870,17;26,54;40,95;56,12;15,92;29,57;53,08;2
117;MAKASAR;Kota Jakarta Timur;2021;Februari;2948,08;1470,21;508,54;93,75;26,53;676,58;20,64;31,84;43,63;12,38;23,00;41,27;2
118;MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Februari;2735,16;1364,02;471,82;86,98;24,62;627,72;19,15;29,54;40,48;11,49;21,33;38,29;2
119;MATRAMAN;Kota Jakarta Timur;2021;Februari;2622,46;1307,82;452,37;83,39;23,60;601,85;18,36;28,32;38,81;11,01;20,46;36,71;2
120;MENTENG;Kota Jakarta Pusat;2021;Februari;2138,8;1066,62;368,94;68,01;19,25;490,85;14,97;23,10;31,65;8,98;16,68;29,94;2
121;Pademangan;Kota Jakarta Utara;2021;Februari;2893,46;1442,97;499,12;92,01;26,04;664,05;20,25;31,25;42,82;12,15;22,57;40,51;2
122;PALMERAH;Kota Jakarta Barat;2021;Februari;4244,24;2116,60;732,13;134,97;38,20;974,05;29,71;45,84;62,81;17,83;33,11;59,42;2
123;PANCORAN;Kota Jakarta Selatan;2021;Februari;4706,74;2347,25;811,91;149,67;42,36;1080,20;32,95;50,83;69,66;19,77;36,71;65,89;2
124;PASAR - CAKUNG;Kota Jakarta Timur;2021;Februari;217,88;108,66;37,58;6,93;1,96;50,00;1,53;2,35;3,22;0,92;1,70;3,05;2
125;PASAR - CEMPAKA PUTIH;Kota Jakarta Pusat;2021;Februari;328,66;163,90;56,69;10,45;2,96;75,43;2,30;3,55;4,86;1,38;2,56;4,60;2
126;PASAR - CENGKARENG;Kota Jakarta Barat;2021;Februari;194,44;96,97;33,54;6,18;1,75;44,62;1,36;2,10;2,88;0,82;1,52;2,72;2
127;PASAR - CILANDAK;Kota Jakarta Selatan;2021;Februari;121,66;60,67;20,99;3,87;1,09;27,92;0,85;1,31;1,80;0,51;0,95;1,70;2
128;PASAR - CILINCING;Kota Jakarta Utara;2021;Februari;139,92;69,78;24,14;4,45;1,26;32,11;0,98;1,51;2,07;0,59;1,09;1,96;2
129;PASAR - CIPAYUNG;Kota Jakarta Timur;2021;Februari;69,94;34,88;12,06;2,22;0,63;16,05;0,49;0,76;1,04;0,29;0,55;0,98;2
130;PASAR - CIRACAS;Kota Jakarta Timur;2021;Februari;164,12;81,85;28,31;5,22;1,48;37,67;1,15;1,77;2,43;0,69;1,28;2,30;2
131;PASAR - DUREN SAWIT;Kota Jakarta Timur;2021;Februari;656,92;327,61;113,32;20,89;5,91;150,76;4,60;7,09;9,72;2,76;5,12;9,20;2
132;PASAR - GAMBIR;Kota Jakarta Pusat;2021;Februari;134,22;66,94;23,15;4,27;1,21;30,80;0,94;1,45;1,99;0,56;1,05;1,88;2
133;PASAR - GROGOL PETAMBURAN;Kota Jakarta Barat;2021;Februari;387,04;193,02;66,76;12,31;3,48;88,83;2,71;4,18;5,73;1,63;3,02;5,42;2
134;PASAR - JAGAKARSA;Kota Jakarta Selatan;2021;Februari;178,7;89,12;30,83;5,68;1,61;41,01;1,25;1,93;2,64;0,75;1,39;2,50;2
135;PASAR - JATINEGARA;Kota Jakarta Timur;2021;Februari;105,36;52,54;18,17;3,35;0,95;24,18;0,74;1,14;1,56;0,44;0,82;1,48;2
136;PASAR - JOHAR BARU;Kota Jakarta Pusat;2021;Februari;10,86;5,42;1,87;0,35;0,10;2,49;0,08;0,12;0,16;0,05;0,08;0,15;2
137;PASAR - KALIDERES;Kota Jakarta Barat;2021;Februari;36,5;18,20;6,30;1,16;0,33;8,38;0,26;0,39;0,54;0,15;0,28;0,51;2
138;PASAR - KEBAYORAN BARU;Kota Jakarta Selatan;2021;Februari;245,44;122,40;42,34;7,80;2,21;56,33;1,72;2,65;3,63;1,03;1,91;3,44;2
139;PASAR - KEBAYORAN LAMA;Kota Jakarta Selatan;2021;Februari;365,94;182,49;63,12;11,64;3,29;83,98;2,56;3,95;5,42;1,54;2,85;5,12;2
140;PASAR - KEBON JERUK;Kota Jakarta Barat;2021;Februari;34,76;17,33;6,00;1,11;0,31;7,98;0,24;0,38;0,51;0,15;0,27;0,49;2
141;PASAR - KELAPA GADING;Kota Jakarta Utara;2021;Februari;45,02;22,45;7,77;1,43;0,41;10,33;0,32;0,49;0,67;0,19;0,35;0,63;2
142;PASAR - KEMAYORAN;Kota Jakarta Pusat;2021;Februari;314,22;156,70;54,20;9,99;2,83;72,11;2,20;3,39;4,65;1,32;2,45;4,40;2
143;PASAR - KEMBANGAN;Kota Jakarta Barat;2021;Februari;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;#N/A;2
144;PASAR - KOJA;Kota Jakarta Utara;2021;Februari;355,34;177,21;61,30;11,30;3,20;81,55;2,49;3,84;5,26;1,49;2,77;4,97;2
145;PASAR - KRAMAT JATI;Kota Jakarta Timur;2021;Februari;5047,3;2517,09;870,66;160,50;45,43;1158,36;35,33;54,51;74,70;21,20;39,37;70,66;2
146;PASAR - MAKASAR;Kota Jakarta Timur;2021;Februari;201,5;100,49;34,76;6,41;1,81;46,24;1,41;2,18;2,98;0,85;1,57;2,82;2
147;PASAR - MAMPANG PRAPATAN;Kota Jakarta Selatan;2021;Februari;62,08;30,96;10,71;1,97;0,56;14,25;0,43;0,67;0,92;0,26;0,48;0,87;2
148;PASAR - MATRAMAN;Kota jakarta Timur;2021;Februari;96,54;48,14;16,65;3,07;0,87;22,16;0,68;1,04;1,43;0,41;0,75;1,35;2
149;PASAR - PADEMANGAN;Kota Jakarta Utara;2021;Februari;318,92;159,05;55,01;10,14;2,87;73,19;2,23;3,44;4,72;1,34;2,49;4,46;2
150;PASAR - PALMERAH;Kota Jakarta Barat;2021;Februari;47,22;23,55;8,15;1,50;0,42;10,84;0,33;0,51;0,70;0,20;0,37;0,66;2
151;PASAR - PASAR MINGGU;Kota Jakarta Selatan;2021;Februari;571,18;284,85;98,53;18,16;5,14;131,09;4,00;6,17;8,45;2,40;4,46;8,00;2
152;PASAR - PASAR REBO;Kota Jakarta Timur;2021;Februari;81,44;40,61;14,05;2,59;0,73;18,69;0,57;0,88;1,21;0,34;0,64;1,14;2
153;PASAR - PENJARINGAN;Kota Jakarta Utara;2021;Februari;384,86;191,93;66,39;12,24;3,46;88,33;2,69;4,16;5,70;1,62;3,00;5,39;2
154;PASAR - PESANGGRAHAN;Kota Jakarta Selatan;2021;Februari;55,3;27,58;9,54;1,76;0,50;12,69;0,39;0,60;0,82;0,23;0,43;0,77;2
155;PASAR - PULOGADUNG;Kota Jakarta Timur;2021;Februari;227,02;113,21;39,16;7,22;2,04;52,10;1,59;2,45;3,36;0,95;1,77;3,18;2
156;PASAR - SAWAH BESAR;Kota Jakarta Pusat;2021;Februari;173,2;86,37;29,88;5,51;1,56;39,75;1,21;1,87;2,56;0,73;1,35;2,42;2
157;PASAR - SENEN;Kota Jakarta Pusat;2021;Februari;659,42;328,85;113,75;20,97;5,93;151,34;4,62;7,12;9,76;2,77;5,14;9,23;2
158;PASAR - SETIABUDI;Kota Jakarta Selatan;2021;Februari;271,54;135,42;46,84;8,63;2,44;62,32;1,90;2,93;4,02;1,14;2,12;3,80;2
159;PASAR - TAMANSARI;Kota Jakarta Barat;2021;Februari;823,38;410,62;142,03;26,18;7,41;188,97;5,76;8,89;12,19;3,46;6,42;11,53;2
160;PASAR - TAMBORA;Kota Jakarta Barat;2021;Februari;637,7;318,02;110,00;20,28;5,74;146,35;4,46;6,89;9,44;2,68;4,97;8,93;2
161;PASAR - TANAH ABANG;Kota Jakarta Pusat;2021;Februari;382,56;190,78;65,99;12,17;3,44;87,80;2,68;4,13;5,66;1,61;2,98;5,36;2
162;PASAR - TANJUNG PRIOK;Kota Jakarta Pusat;2021;Februari;246,88;123,12;42,59;7,85;2,22;56,66;1,73;2,67;3,65;1,04;1,93;3,46;2
163;PASAR - TEBET;Kota Jakarta Selatan;2021;Februari;202,52;101,00;34,93;6,44;1,82;46,48;1,42;2,19;3,00;0,85;1,58;2,84;2
